n1	n2
KGPGFQWBCSZGEL-ZDUSSCGKSA-N	Q9NQU5
KGPGFQWBCSZGEL-ZDUSSCGKSA-N	Q9Y243
KLGQSVMIPOVQAX-UHFFFAOYSA-N	O95271
KLGQSVMIPOVQAX-UHFFFAOYSA-N	Q9H2K2
KPBNHDGDUADAGP-VAWYXSNFSA-N	P43490
KQNZDYYTLMIZCT-KQPMLPITSA-N	P84077
KQNZDYYTLMIZCT-KQPMLPITSA-N	Q99418
KRWMERLEINMZFT-UHFFFAOYSA-N	P16455
KTUFNOKKBVMGRW-UHFFFAOYSA-N	P00519
KTUFNOKKBVMGRW-UHFFFAOYSA-N	P04629
KTUFNOKKBVMGRW-UHFFFAOYSA-N	P07333
KTUFNOKKBVMGRW-UHFFFAOYSA-N	P07949
KTUFNOKKBVMGRW-UHFFFAOYSA-N	P09619
KTUFNOKKBVMGRW-UHFFFAOYSA-N	P10721
KTUFNOKKBVMGRW-UHFFFAOYSA-N	P11274
KTUFNOKKBVMGRW-UHFFFAOYSA-N	P16234
KTUFNOKKBVMGRW-UHFFFAOYSA-N	Q08345
KUSGVVPSWLLOSB-UHFFFAOYSA-N	P07437
KUSGVVPSWLLOSB-UHFFFAOYSA-N	P68366
KUUJEXLRLIPQQJ-UHFFFAOYSA-N	Q07812
KVLFRAWTRWDEDF-IRXDYDNUSA-N	P42345
KZENBFUSKMWCJF-UHFFFAOYSA-N	P04637
KZENBFUSKMWCJF-UHFFFAOYSA-N	Q00987
LCOIAYJMPKXARU-VAWYXSNFSA-N	P05198
LFKQSJNCVRGFCC-UHFFFAOYSA-N	P10721
LFKQSJNCVRGFCC-UHFFFAOYSA-N	P16234
LFKQSJNCVRGFCC-UHFFFAOYSA-N	P35968
LGAWSVFQACGGJL-UHFFFAOYSA-N	Q16739
